Category,Item Purchased,Count
Accessories,Jewelry,171
Accessories,Belt,161
Accessories,Sunglasses,161
Accessories,Scarf,157
Accessories,Hat,154
Accessories,Handbag,153
Accessories,Backpack,143
Accessories,Gloves,140
Clothing,Blouse,171
Clothing,Pants,171
Clothing,Shirt,169
Clothing,Dress,166
Clothing,Sweater,164
Clothing,Socks,159
Clothing,Skirt,158
Clothing,Shorts,157
Clothing,Hoodie,151
Clothing,T-shirt,147
Clothing,Jeans,124
Footwear,Sandals,160
Footwear,Shoes,150
Footwear,Sneakers,145
Footwear,Boots,144
Outerwear,Jacket,163
Outerwear,Coat,161
